iteration = 1 , objective = 0.7272635429897207, inputs = [0.7076923076923077, 0.6666666666666666], constraints = [1.6808713288906008]
iteration = 2 , objective = 0.7272635782568002, inputs = [0.7076923191547394, 0.6666666666666666], constraints = [1.6808711588142182]
iteration = 3 , objective = 0.7272635408019407, inputs = [0.7076923076923077, 0.666666679084301], constraints = [1.6808713051970203]
iteration = 4 , objective = 0.7272635430068461, inputs = [0.7076923076923077, 0.6666666666666666], constraints = [1.6808713289199295]
iteration = 5 , objective = 0.7272635782568002, inputs = [0.7076923191547394, 0.6666666666666666], constraints = [1.6808711588142182]
iteration = 6 , objective = 0.7272635408019407, inputs = [0.7076923076923077, 0.666666679084301], constraints = [1.6808713051970203]
iteration = 7 , objective = 0.7272635430068469, inputs = [0.7076923076923077, 0.6666666666666666], constraints = [1.6808713289199275]
iteration = 8 , objective = 0.727263578256801, inputs = [0.7076923191547394, 0.6666666666666666], constraints = [1.6808711588142162]
iteration = 9 , objective = 0.7272635408019407, inputs = [0.7076923076923077, 0.666666679084301], constraints = [1.6808713051970203]
iteration = 10 , objective = 0.8368129383847154, inputs = [0.38461538461538586, 0.7890161958833536], constraints = [1.530799122201821]
iteration = 11 , objective = 0.7355342399440604, inputs = [0.5618821497306752, 0.7218851081811941], constraints = [1.7603260735099162]
iteration = 12 , objective = 0.7257209829225976, inputs = [0.6360794456053209, 0.6937865236925312], constraints = [1.739574505329379]
iteration = 13 , objective = 0.7253110062533328, inputs = [0.6716388246705037, 0.6803201539920035], constraints = [1.714504390219795]
iteration = 14 , objective = 0.725989637478334, inputs = [0.6893495519617167, 0.6736130852062544], constraints = [1.6989492560768897]
iteration = 15 , objective = 0.7265416146765783, inputs = [0.6983137249838512, 0.6702183446019744], constraints = [1.69035703931106]
iteration = 16 , objective = 0.7268752611638877, inputs = [0.7028853041702596, 0.6684870833410125], constraints = [1.6857958732618108]
iteration = 17 , objective = 0.7270597067947572, inputs = [0.7052254171265788, 0.6676008804027377], constraints = [1.6834141297202465]
iteration = 18 , objective = 0.7271576051929085, inputs = [0.7064255650443811, 0.6671463832776102], constraints = [1.6821814346155108]
iteration = 19 , objective = 0.7272088134382094, inputs = [0.7070416253907564, 0.6669130806553424], constraints = [1.6815454080630257]
iteration = 20 , objective = 0.7272351798864649, inputs = [0.7073580219438229, 0.6667932609884196], constraints = [1.6812186952361625]
iteration = 21 , objective = 0.7272352119924995, inputs = [0.7073580334062547, 0.6667932609884196], constraints = [1.6812185441720875]
iteration = 22 , objective = 0.7272351776834054, inputs = [0.7073580219438229, 0.666793273406054], constraints = [1.681218671503189]
iteration = 23 , objective = 0.7272351798829361, inputs = [0.7073580219438229, 0.6667932609884196], constraints = [1.6812186952459574]
iteration = 24 , objective = 0.7272352119924989, inputs = [0.7073580334062547, 0.6667932609884196], constraints = [1.6812185441720895]
iteration = 25 , objective = 0.7272351776834054, inputs = [0.7073580219438229, 0.666793273406054], constraints = [1.681218671503189]
iteration = 26 , objective = 0.7272351798829266, inputs = [0.7073580219438229, 0.6667932609884196], constraints = [1.6812186952459796]
iteration = 27 , objective = 0.7272352119924981, inputs = [0.7073580334062547, 0.6667932609884196], constraints = [1.6812185441720913]
iteration = 28 , objective = 0.7272351776834054, inputs = [0.7073580219438229, 0.666793273406054], constraints = [1.681218671503189]
iteration = 29 , objective = 0.71606129577908, inputs = [0.7032128433171341, 0.8166123967635741], constraints = [1.3371855794102985]
iteration = 30 , objective = 0.7160613092690037, inputs = [0.7032128547795657, 0.8166123967635741], constraints = [1.3371855060273379]
iteration = 31 , objective = 0.7160612961014733, inputs = [0.7032128433171341, 0.8166124091812085], constraints = [1.3371855450760777]
iteration = 32 , objective = 0.716061295779307, inputs = [0.7032128433171341, 0.8166123967635741], constraints = [1.3371855794092238]
iteration = 33 , objective = 0.7160613092690037, inputs = [0.7032128547795657, 0.8166123967635741], constraints = [1.3371855060273379]
iteration = 34 , objective = 0.716061296101474, inputs = [0.7032128433171341, 0.8166124091812085], constraints = [1.3371855450760757]
iteration = 35 , objective = 0.7160612957793084, inputs = [0.7032128433171341, 0.8166123967635741], constraints = [1.3371855794092198]
iteration = 36 , objective = 0.7160613092690045, inputs = [0.7032128547795657, 0.8166123967635741], constraints = [1.3371855060273359]
iteration = 37 , objective = 0.7160612961014733, inputs = [0.7032128433171341, 0.8166124091812085], constraints = [1.3371855450760777]
iteration = 38 , objective = 0.7160614032322578, inputs = [0.7016076978186684, 0.8086556459460574], constraints = [1.3612007320237833]
iteration = 39 , objective = 0.7160532174913831, inputs = [0.7024103117173479, 0.8126342253337665], constraints = [1.3492284262406296]
iteration = 40 , objective = 0.7160550557196097, inputs = [0.7028084597211744, 0.8146078560469739], constraints = [1.3432632710223595]
iteration = 41 , objective = 0.7160576145958097, inputs = [0.7030082331679482, 0.8155981385711785], constraints = [1.3402629793436693]
iteration = 42 , objective = 0.7160592511463743, inputs = [0.7031091087537585, 0.8160981816517777], constraints = [1.3387465810926351]
iteration = 43 , objective = 0.7160603088068405, inputs = [0.7031601809957377, 0.8163513481737591], constraints = [1.337977760927359]
iteration = 44 , objective = 0.7160606926463333, inputs = [0.7031861286687693, 0.8164799715096519], constraints = [1.3375877663398865]
iteration = 45 , objective = 0.7160613560577913, inputs = [0.7031992509454225, 0.8165450189994825], constraints = [1.3373887597805159]
iteration = 46 , objective = 0.7160610385808329, inputs = [0.7032060701381869, 0.8165788219274134], constraints = [1.3372880195864034]
iteration = 47 , objective = 0.7160611904924495, inputs = [0.7032093552772286, 0.8165951064528851], constraints = [1.3372381872378554]
iteration = 48 , objective = 0.716061336572146, inputs = [0.7032110580210451, 0.8166035470012764], constraints = [1.3372120411025794]
